,WMT,AMZN,AAPL,CVS,UNH
752,52.55612515100711,151.9376102687077,192.61060860539632,78.95895210490181,526.6631370865907
753,52.561103696165965,151.92776573599156,192.69453714375467,78.95760181322797,526.899751793355
754,52.56601814537681,151.9179598352128,192.7784754236004,78.95626179476712,527.1349953609925
755,52.570929013968595,151.90815373417175,192.86241373204052,78.95492142835145,527.370282198942
756,52.57583968253474,151.89834763416883,192.94635204056456,78.95358107372107,527.6055676713701
757,52.58075033992677,151.88854153416054,193.03029034908886,78.9522407186915,527.8408531868912
758,52.58566099669458,151.87873543415225,193.11422865761318,78.95090036367546,528.0761387010523
759,52.59057165342752,151.86892933414398,193.19816696613748,78.94956000865896,528.3114242152565
760,52.5954823101585,151.8591232341357,193.28210527466177,78.94821965364248,528.5467097294592
761,52.60039296688938,151.84931713412743,193.36604358318607,78.94687929862599,528.7819952436619
762,52.60530362362025,151.83951103411914,193.44998189171037,78.9455389436095,529.0172807578647
763,52.61021428035112,151.82970493411088,193.53392020023466,78.94419858859303,529.2525662720674
764,52.615124937081994,151.81989883410262,193.61785850875896,78.94285823357654,529.4878517862702
765,52.620035593812865,151.81009273409433,193.70179681728325,78.94151787856005,529.723137300473
766,52.624946250543736,151.80028663408606,193.78573512580758,78.94017752354357,529.9584228146757
767,52.62985690727461,151.79048053407777,193.86967343433187,78.93883716852709,530.1937083288785
768,52.634767564005486,151.7806744340695,193.95361174285617,78.9374968135106,530.4289938430812
769,52.63967822073636,151.77086833406125,194.03755005138046,78.93615645849411,530.664279357284
770,52.64458887746723,151.76106223405296,194.12148835990476,78.93481610347763,530.8995648714867
771,52.6494995341981,151.7512561340447,194.20542666842906,78.93347574846115,531.1348503856896
772,52.65441019092897,151.7414500340364,194.28936497695335,78.93213539344467,531.3701358998923
773,52.65932084765984,151.73164393402814,194.37330328547765,78.93079503842817,531.6054214140951
774,52.66423150439071,151.72183783401988,194.45724159400194,78.92945468341169,531.8407069282979
775,52.669142161121584,151.7120317340116,194.54117990252627,78.92811432839521,532.0759924425006
776,52.674052817852456,151.70222563400333,194.62511821105056,78.92677397337873,532.3112779567034
777,52.67896347458333,151.69241953399504,194.70905651957486,78.92543361836223,532.5465634709061
778,52.6838741313142,151.68261343398677,194.79299482809915,78.92409326334575,532.7818489851089
779,52.688784788045076,151.6728073339785,194.87693313662345,78.92275290832927,533.0171344993116
780,52.69369544477595,151.66300123397022,194.96087144514775,78.92141255331279,533.2524200135144
781,52.69860610150682,151.65319513396196,195.04480975367204,78.9200721982963,533.4877055277171
782,52.70351675823769,151.64338903395367,195.12874806219634,78.91873184327982,533.72299104192
783,52.70842741496856,151.6335829339454,195.21268637072066,78.91739148826333,533.9582765561227
784,52.71333807169943,151.62377683393711,195.29662467924496,78.91605113324685,534.1935620703255
785,52.718248728430304,151.61397073392885,195.38056298776925,78.91471077823036,534.4288475845283
786,52.723159385161175,151.6041646339206,195.46450129629355,78.91337042321388,534.664133098731
787,52.728070041892046,151.5943585339123,195.54843960481784,78.9120300681974,534.8994186129338
788,52.73298069862292,151.58455243390404,195.63237791334214,78.91068971318091,535.1347041271365
789,52.73789135535379,151.57474633389575,195.71631622186644,78.90934935816442,535.3699896413393
790,52.74280201208467,151.56494023388748,195.80025453039073,78.90800900314794,535.605275155542
791,52.74771266881554,151.55513413387922,195.88419283891506,78.90666864813146,535.8405606697448
792,52.75262332554641,151.54532803387093,195.96813114743935,78.90532829311498,536.0758461839475
793,52.75753398227728,151.53552193386267,196.05206945596365,78.90398793809848,536.3111316981503
794,52.76244463900815,151.52571583385438,196.13600776448794,78.902647583082,536.5464172123532
795,52.76735529573902,151.51590973384612,196.21994607301224,78.90130722806552,536.7817027265559
796,52.772265952469894,151.50610363383785,196.30388438153653,78.89996687304904,537.0169882407587
797,52.777176609200765,151.49629753382956,196.38782269006083,78.89862651803254,537.2522737549614
798,52.78208726593164,151.4864914338213,196.47176099858513,78.89728616301606,537.4875592691642
799,52.78699792266251,151.476685333813,196.55569930710945,78.89594580799958,537.7228447833669
800,52.79190857939338,151.46687923380475,196.63963761563375,78.8946054529831,537.9581302975697
801,52.79681923612426,151.45707313379648,196.72357592415804,78.8932650979666,538.1934158117724
802,52.80172989285513,151.4472670337882,196.80751423268234,78.89192474295012,538.4287013259752
803,52.806640549586,151.43746093377993,196.89145254120663,78.89058438793364,538.6639868401779
804,52.81155120631687,151.42765483377164,196.97539084973093,78.88924403291716,538.8992723543807
805,52.81646186304774,151.41784873376338,197.05932915825522,78.88790367790067,539.1345578685836
806,52.82137251977861,151.4080426337551,197.14326746677952,78.88656332288419,539.3698433827863
807,52.826283176509484,151.39823653374683,197.22720577530384,78.8852229678677,539.6051288969891
808,52.831193833240356,151.38843043373856,197.31114408382814,78.88388261285122,539.8404144111918
809,52.83610448997123,151.37862433373027,197.39508239235244,78.88254225783473,540.0756999253946
810,52.8410151467021,151.368818233722,197.47902070087673,78.88120190281825,540.3109854395973
811,52.84592580343297,151.35901213371372,197.56295900940103,78.87986154780177,540.5462709538001
812,52.85083646016384,151.34920603370546,197.64689731792532,78.87852119278529,540.7815564680028
813,52.85574711689472,151.3393999336972,197.73083562644962,78.87718083776879,541.0168419822056
814,52.86065777362559,151.3295938336889,197.8147739349739,78.87584048275231,541.2521274964083
815,52.86556843035646,151.31978773368064,197.89871224349824,78.87450012773583,541.4874130106111
816,52.87047908708733,151.30998163367235,197.98265055202253,78.87315977271935,541.722698524814
817,52.875389743818204,151.3001755336641,198.06658886054683,78.87181941770285,541.9579840390167
818,52.880300400549075,151.29036943365583,198.15052716907113,78.87047906268637,542.1932695532195
819,52.885211057279946,151.28056333364754,198.23446547759542,78.86913870766989,542.4285550674222
820,52.89012171401082,151.27075723363927,198.31840378611972,78.86779835265341,542.663840581625
821,52.89503237074169,151.26095113363098,198.402342094644,78.86645799763691,542.8991260958277
822,52.89994302747256,151.25114503362272,198.4862804031683,78.86511764262043,543.1344116100305
823,52.90485368420343,151.24133893361446,198.57021871169263,78.86377728760395,543.3696971242332
824,52.9097643409343,151.23153283360617,198.65415702021693,78.86243693258747,543.604982638436
825,52.91467499766518,151.2217267335979,198.73809532874122,78.86109657757099,543.8402681526388
826,52.91958565439605,151.2119206335896,198.82203363726552,78.8597562225545,544.0755536668415
827,52.92449631112692,151.20211453358135,198.90597194578982,78.85841586753801,544.3108391810443
828,52.929406967857794,151.19230843357306,198.9899102543141,78.85707551252153,544.546124695247
829,52.934317624588665,151.1825023335648,199.0738485628384,78.85573515750505,544.7814102094499
830,52.93922828131954,151.17269623355654,199.1577868713627,78.85439480248856,545.0166957236526
831,52.94413893805041,151.16289013354825,199.24172517988703,78.85305444747208,545.2519812378554
832,52.94904959478128,151.15308403353998,199.32566348841132,78.8517140924556,545.4872667520581
833,52.95396025151215,151.1432779335317,199.40960179693562,78.85037373743911,545.7225522662609
834,52.95887090824302,151.13347183352343,199.4935401054599,78.84903338242262,545.9578377804637
835,52.96378156497389,151.12366573351517,199.5774784139842,78.84769302740614,546.1931232946664
836,52.96869222170477,151.11385963350688,199.6614167225085,78.84635267238966,546.4284088088692
837,52.97360287843564,151.10405353349861,199.7453550310328,78.84501231737318,546.6636943230719
838,52.97851353516651,151.09424743349032,199.8292933395571,78.84367196235668,546.8989798372747
839,52.983424191897385,151.08444133348206,199.91323164808142,78.8423316073402,547.1342653514774
840,52.988334848628256,151.0746352334738,199.99716995660572,78.84099125232372,547.3695508656803
841,52.99324550535913,151.0648291334655,200.08110826513,78.83965089730724,547.6048363798831
842,52.99815616209,151.05502303345725,200.1650465736543,78.83831054229074,547.8401218940858
843,53.00306681882087,151.04521693344896,200.2489848821786,78.83697018727426,548.0754074082886
844,53.00797747555174,151.0354108334407,200.3329231907029,78.83562983225778,548.3106929224913
845,53.01288813228261,151.0256047334324,200.4168614992272,78.8342894772413,548.5459784366941
846,53.01779878901348,151.01579863342414,200.5007998077515,78.8329491222248,548.7812639508968
847,53.022709445744354,151.00599253341588,200.58473811627582,78.83160876720832,549.0165494650996
848,53.02762010247523,150.9961864334076,200.6686764248001,78.83026841219184,549.2518349793024
849,53.032530759206104,150.98638033339932,200.7526147333244,78.82892805717536,549.4871204935051
850,53.037441415936975,150.97657423339103,200.8365530418487,78.82758770215887,549.722406007708
851,53.042352072667846,150.96676813338277,200.920491350373,78.82624734714238,549.9576915219106
852,53.04726272939872,150.9569620333745,201.0044296588973,78.8249069921259,550.1929770361135
853,53.05217338612959,150.94715593336622,201.0883679674216,78.82356663710942,550.4282625503162
854,53.05708404286046,150.93734983335796,201.17230627594589,78.82222628209293,550.663548064519
855,53.06199469959133,150.92754373334967,201.2562445844702,78.82088592707645,550.8988335787217
856,53.0669053563222,150.9177376333414,201.3401828929945,78.81954557205997,551.1341190929245
857,53.07181601305307,150.90793153333314,201.4241212015188,78.81820521704348,551.3694046071273
858,53.076726669783945,150.89812543332485,201.5080595100431,78.81686486202699,551.60469012133
859,53.08163732651482,150.8883193333166,201.5919978185674,78.81552450701051,551.8399756355328
860,53.086547983245694,150.8785132333083,201.6759361270917,78.81418415199403,552.0752611497355
861,53.091458639976565,150.86870713330003,201.75987443561598,78.81284379697755,552.3105466639383
862,53.09636929670744,150.85890103329177,201.84381274414028,78.81150344196105,552.545832178141
863,53.10127995343831,150.84909493328348,201.9277510526646,78.81016308694457,552.7811176923439
864,53.10619061016918,150.83928883327522,202.0116893611889,78.80882273192809,553.0164032065466
865,53.11110126690005,150.82948273326693,202.0956276697132,78.80748237691161,553.2516887207494
866,53.11601192363092,150.81967663325867,202.1795659782375,78.80614202189511,553.4869742349522
867,53.12092258036179,150.8098705332504,202.2635042867618,78.80480166687863,553.7222597491549
868,53.125833237092664,150.8000644332421,202.34744259528608,78.80346131186215,553.9575452633577
869,53.130743893823535,150.79025833323385,202.43138090381038,78.80212095684567,554.1928307775604
870,53.13565455055441,150.78045223322556,202.51531921233467,78.80078060182917,554.4281162917632
871,53.140565207285285,150.7706461332173,202.599257520859,78.7994402468127,554.6634018059659
872,53.145475864016156,150.760840033209,202.6831958293833,78.79809989179621,554.8986873201687
873,53.15038652074703,150.75103393320074,202.7671341379076,78.79675953677973,555.1339728343715
874,53.1552971774779,150.74122783319248,202.85107244643189,78.79541918176324,555.3692583485742
875,53.16020783420877,150.7314217331842,202.93501075495618,78.79407882674676,555.6045438627771
876,53.16511849093964,150.72161563317593,203.01894906348048,78.79273847173027,555.8398293769798
877,53.17002914767051,150.71180953316764,203.10288737200477,78.7913981167138,556.0751148911826
